7.2959,1.3753,-5.9636
-6.9266,-2.2303,-4.7867
5.7272,-10.061,3.3266
3.1369,0.1873,-5.9502
-0.87195,10.95,8.1186
5.2884,-9.7011,3.4808
0.16423,2.9998,5.2939
0.68243,2.3427,6.4604
8.996,-2.2797,-5.9014
6.3242,-5.8742,-0.41214
-5.7109,-1.3543,12.4
-6.611,2.7878,-10.185
-8.6432,-1.0431,-9.047
2.4682,6.7475,4.3986
5.5973,-2.2082,-3.9219
2.5527,-5.5405,9.6829
10.386,4.6832,-4.4266
8.1735,5.5702,-2.1907
5.1239,-0.28353,-6.1869
5.6292,2.0182,-4.1919
6.8674,-8.1102,1.0014
1.2435,-7.5893,6.2581
-3.1235,3.7011,9.9307
-7.3757,1.7554,-5.5838
2.5374,2.3288,9.0402
-4.3271,4.3302,0.0035975
-3.6531,0.31932,-5.3876
1.6189,-6.8129,9.0387
-2.667,-4.5372,2.3962
3.6426,-6.2892,2.7065
3.6361,10.723,5.5365
5.3895,-0.9776,-7.8701
4.25,-6.8926,2.5191
1.5183,-4.0119,8.1097
-6.667,-6.3609,-0.26904
-2.3056,-4.3982,2.7913
-9.3485,-4.5169,-3.9552
-3.0233,0.90966,9.5018
-4.8149,-1.5729,11.515
11.823,-7.8083,-2.7506
-4.3784,7.339,2.727
4.948,-4.6892,-0.27718
4.4333,-4.9717,0.5857
7.9539,4.5503,-3.0017
-4.0893,-0.66468,10.711
-10.103,-5.1673,-3.8354
2.6699,-8.7852,5.4004
-1.7569,5.2483,4.2712
1.1538,-4.3513,4.5117
3.8939,9.0303,4.3448
3.084,2.9502,-9.6378
-3.8713,3.8471,-0.030471
-5.8591,-5.6717,-0.17805
12.006,4.9921,-5.0614
4.3762,5.4035,1.0847
-2.4199,1.8654,-8.1997
-2.0087,-1.9454,8.3146
9.6294,-8.0451,-1.1594
6.92,-4.5926,-2.1834
8.8208,2.6064,-5.4833
-2.803,-0.034983,9.2101
4.686,6.9619,2.121
7.6158,-3.1134,-4.2465
9.9249,9.0678,-0.60335
-1.4094,5.4059,4.845
2.8818,-1.4912,-7.792
1.9434,-0.68116,-6.3418
3.7104,0.6013,-4.9645
-6.7527,6.8366,0.071831
10.389,-4.0213,-5.0139
4.4327,2.0791,-3.1634
1.035,-6.066,5.71
3.5024,-3.7834,0.36813
-2.5708,5.405,9.6703
0.39676,1.7972,-7.8808
2.6931,2.0357,-8.4694
-1.5982,5.9391,4.9341
-9.5371,0.82996,-7.5719
-1.1092,-1.182,-7.0041
-3.0854,0.22405,-5.2357
9.4704,-0.25536,-8.0955
-8.1591,-10.196,1.4578
-3.8659,8.5561,4.0781
-5.941,-2.4942,-3.8101
7.7217,-2.5391,-4.9268
1.2119,3.9735,-10.605
3.638,-11.578,5.9726
-4.1893,-4.1319,-0.068207
6.9798,-10.064,2.2897
-5.5678,6.782,1.1003
2.2276,2.4724,-8.9466
-9.9529,-7.9152,-1.4803
-10.97,-9.3896,-1.07
-7.4036,2.0672,-5.2545
-1.7292,2.1771,7.9746
3.8208,-0.27057,-5.554
-2.9708,2.5251,-9.1218
0.38825,-6.3977,6.6532
1.394,2.8796,-9.3588
2.6315,0.97883,9.0246
-4.7166,4.6317,-11.652
-3.7444,-3.145,-9.9618
7.2755,-7.6754,0.32312
-2.2528,-5.3804,3.7006
9.5593,3.4622,-5.0636
-7.2251,3.4418,-3.6313
4.4049,-6.2467,1.8238
-5.2842,3.0015,-10.1
1.8659,1.5928,8.075
3.4206,-0.43195,-6.4449
-3.5891,-7.2563,3.4945
-2.8811,-3.5534,9.6343
-9.1822,-5.787,-2.7039
-2.7702,-5.5539,3.1629
3.6835,-7.6506,11.295
-6.9788,-11.808,3.3708
-3.9817,5.0301,1.1702
1.4811,1.9203,-8.1363
-1.4744,4.8426,-11.539
0.46711,1.1262,-6.8509
2.9775,1.4061,9.4777
